nama_penjara,provinsi
RUTAN KELAS II B MAKALE,SULAWESI SELATAN
RUTAN KELAS II B MALINO,SULAWESI SELATAN
RUTAN KELAS II B MAMUJU,SULAWESI BARAT
RUTAN KELAS II B MANINJAU,SUMATERA BARAT
RUTAN KELAS II B MANNA,BENGKULU
RUTAN KELAS II B MARABAHAN,KALIMANTAN SELATAN
RUTAN KELAS II B MASAMBA,SULAWESI SELATAN
RUTAN KELAS II B MASOHI,MALUKU
RUTAN KELAS II B MAUMERE,NUSA TENGGARA TIMUR
RUTAN KELAS II B MEMPAWAH,KALIMANTAN BARAT
RUTAN KELAS II B MENGGALA,LAMPUNG
RUTAN KELAS II B MUARA LABUH,SUMATERA BARAT
RUTAN KELAS II B MUNTOK,BANGKA BELITUNG
RUTAN KELAS II B NATAL,SUMATERA UTARA
RUTAN KELAS II B NEGARA,BALI
RUTAN KELAS II B NGANJUK,JAWA TIMUR
RUTAN KELAS II B PACITAN,JAWA TIMUR
RUTAN KELAS II B PADANG,SUMATERA BARAT
RUTAN KELAS II B PADANG PANJANG,SUMATERA BARAT
RUTAN KELAS II B PAINAN,SUMATERA BARAT
RUTAN KELAS II B PANDEGLANG,BANTEN
RUTAN KELAS II B PANGKAJENE,SULAWESI SELATAN
RUTAN KELAS II B PANGKALAN BRANDAN,SUMATERA UTARA
RUTAN KELAS II B PASANGKAYU,SULAWESI BARAT
RUTAN KELAS II B PELAIHARI,KALIMANTAN SELATAN
RUTAN KELAS II B PEMALANG,JAWA TENGAH
RUTAN KELAS II B PINRANG,SULAWESI SELATAN
RUTAN KELAS II B PONOROGO,JAWA TIMUR
RUTAN KELAS II B POSO,SULAWESI TENGAH
RUTAN KELAS II B PRABUMULIH,SUMATERA SELATAN
RUTAN KELAS II B PRAYA,NUSA TENGGARA BARAT
RUTAN KELAS II B PURBALINGGA,JAWA TENGAH
RUTAN KELAS II B PURWODADI,JAWA TENGAH
RUTAN KELAS II B PURWOREJO,JAWA TENGAH
RUTAN KELAS II B PUTUSSIBAU,KALIMANTAN BARAT
RUTAN KELAS II B RABA BIMA,NUSA TENGGARA BARAT
RUTAN KELAS II B RAHA,SULAWESI TENGGARA
RUTAN KELAS II B RANTAU,KALIMANTAN SELATAN
RUTAN KELAS II B REMBANG,JAWA TENGAH
RUTAN KELAS II B RENGAT,RIAU
RUTAN KELAS II B RUTENG,NUSA TENGGARA TIMUR
RUTAN KELAS II B SABANG,ACEH
RUTAN KELAS II B SALATIGA,JAWA TENGAH
RUTAN KELAS II B SAMBAS,KALIMANTAN BARAT
RUTAN KELAS II B SAMPANG,JAWA TIMUR
RUTAN KELAS II B SANGGAU,KALIMANTAN BARAT
RUTAN KELAS II B SAWAHLUNTO,SUMATERA BARAT
RUTAN KELAS II B SELAYAR,SULAWESI SELATAN
RUTAN KELAS II B SENGKANG,SULAWESI SELATAN
RUTAN KELAS II B SERANG,BANTEN
RUTAN KELAS II B SIAK SRI INDRAPURA,RIAU
RUTAN KELAS II B SIBUHUAN,SUMATERA UTARA
RUTAN KELAS II B SIDENRENG RAPANG,SULAWESI SELATAN
RUTAN KELAS II B SIDIKALANG,SUMATERA UTARA
RUTAN KELAS II B SIGLI,ACEH
RUTAN KELAS II B SINGKEL,ACEH
RUTAN KELAS II B SINJAI,SULAWESI SELATAN
RUTAN KELAS II B SIPIROK,SUMATERA UTARA
RUTAN KELAS II B SITUBONDO,JAWA TIMUR
RUTAN KELAS II B SOA SIU,MALUKU UTARA
RUTAN KELAS II B SOE,NUSA TENGGARA TIMUR
RUTAN KELAS II B SUKADANA,LAMPUNG
RUTAN KELAS II B SUMENEP,JAWA TIMUR
RUTAN KELAS II B SUNGAI PENUH,JAMBI
RUTAN KELAS II B TAKENGON,ACEH
RUTAN KELAS II B TAMIANG LAYANG,KALIMANTAN TENGAH
RUTAN KELAS II B TANAH GROGOT,KALIMANTAN TIMUR
RUTAN KELAS II B TANJUNG,KALIMANTAN SELATAN
RUTAN KELAS II B TANJUNG BALAI KARIMUN,KEPULAUAN RIAU
RUTAN KELAS II B TANJUNG PURA,SUMATERA UTARA
RUTAN KELAS II B TANJUNG REDEB,KALIMANTAN TIMUR
RUTAN KELAS II B TAPAKTUAN,ACEH
RUTAN KELAS II B TARUTUNG,SUMATERA UTARA
RUTAN KELAS II B TEMANGGUNG,JAWA TENGAH
RUTAN KELAS II B TERNATE,MALUKU UTARA
RUTAN KELAS II B TRENGGALEK,JAWA TIMUR
RUTAN KELAS II B UNAAHA,SULAWESI TENGGARA
RUTAN KELAS II B WATANSOPPENG,SULAWESI SELATAN
RUTAN KELAS II B WATES,D.I. YOGYAKARTA
RUTAN KELAS II B WEDA,MALUKU UTARA
RUTAN KELAS II B WONOGIRI,JAWA TENGAH
RUTAN KELAS II B WONOSARI,D.I. YOGYAKARTA
RUTAN KELAS II B WONOSOBO,JAWA TENGAH
RUTAN PEREMPUAN KELAS II A BANDUNG,JAWA BARAT
RUTAN PEREMPUAN KELAS II A MEDAN,SUMATERA UTARA
RUTAN PEREMPUAN KELAS II A SURABAYA,JAWA TIMUR,
