nama_penjara,provinsi
LAPAS KELAS II B BLITAR,JAWA TIMUR
LAPAS KELAS II B BOALEMO,GORONTALO
LAPAS KELAS II B BONDOWOSO,JAWA TIMUR
LAPAS KELAS II B BREBES,JAWA TENGAH
LAPAS KELAS II B CIAMIS,JAWA BARAT
LAPAS KELAS II B CIANJUR,JAWA BARAT
LAPAS KELAS II B CILACAP,JAWA TENGAH
LAPAS KELAS II B DOMPU,NUSA TENGGARA BARAT
LAPAS KELAS II B EMPAT LAWANG,SUMATERA SELATAN
LAPAS KELAS II B ENDE,NUSA TENGGARA TIMUR
LAPAS KELAS II B FAKFAK,PAPUA BARAT
LAPAS KELAS II B GARUT,JAWA BARAT
LAPAS KELAS II B GUNUNG SITOLI,SUMATERA UTARA
LAPAS KELAS II B GUNUNG SUGIH,LAMPUNG
LAPAS KELAS II B IDI,ACEH
LAPAS KELAS II B INDRAMAYU,JAWA BARAT
LAPAS KELAS II B JAILOLO,MALUKU UTARA
LAPAS KELAS II B JOMBANG,JAWA TIMUR
LAPAS KELAS II B KALABAHI,NUSA TENGGARA TIMUR
LAPAS KELAS II B KARANGASEM,BALI
LAPAS KELAS II B KAYU AGUNG,SUMATERA SELATAN
LAPAS KELAS II B KETAPANG,KALIMANTAN BARAT
LAPAS KELAS II B KLATEN,JAWA TENGAH
LAPAS KELAS II B KOTA AGUNG,LAMPUNG
LAPAS KELAS II B KOTA BAKTI,ACEH
LAPAS KELAS II B KUALA SIMPANG,ACEH
LAPAS KELAS II B KUALA TUNGKAL,JAMBI
LAPAS KELAS II B KUTACANE,ACEH
LAPAS KELAS II B LAMONGAN,JAWA TIMUR
LAPAS KELAS II B LANGSA,ACEH
LAPAS KELAS II B LHOKSUKON,ACEH
LAPAS KELAS II B LUBUK BASUNG,SUMATERA BARAT
LAPAS KELAS II B LUBUK PAKAM,SUMATERA UTARA
LAPAS KELAS II B LUMAJANG,JAWA TIMUR
LAPAS KELAS II B LUWUK,SULAWESI TENGAH
LAPAS KELAS II B MAJALENGKA,JAWA BARAT
LAPAS KELAS II B MANOKWARI,PAPUA BARAT
LAPAS KELAS II B MARTAPURA,SUMATERA SELATAN
LAPAS KELAS II B MERAUKE,PAPUA
LAPAS KELAS II B MEULABOH,ACEH
LAPAS KELAS II B MOJOKERTO,JAWA TIMUR
LAPAS KELAS II B MUARA BULIAN,JAMBI
LAPAS KELAS II B MUARA BUNGO,JAMBI
LAPAS KELAS II B MUARA DUA,SUMATERA SELATAN
LAPAS KELAS II B MUARA ENIM,SUMATERA SELATAN
LAPAS KELAS II B MUARA SIJUNJUNG,SUMATERA BARAT
LAPAS KELAS II B MUARA TEBO,JAMBI
LAPAS KELAS II B MUARA TEWEH,KALIMANTAN TENGAH
LAPAS KELAS II B NABIRE,PAPUA
LAPAS KELAS II B NGAWI,JAWA TIMUR
LAPAS KELAS II B NUNUKAN,KALIMANTAN TIMUR
LAPAS KELAS II B PADANG SIDEMPUAN,SUMATERA UTARA
LAPAS KELAS II B PAHUWATO,GORONTALO
LAPAS KELAS II B PANGKALAN BUN,KALIMANTAN TENGAH
LAPAS KELAS II B PANYABUNGAN,SUMATERA UTARA
LAPAS KELAS II B PARIAMAN,SUMATERA BARAT
LAPAS KELAS II B PASIR PANGARAYAN,RIAU
LAPAS KELAS II B PASURUAN,JAWA TIMUR
LAPAS KELAS II B PATI,JAWA TENGAH
LAPAS KELAS II B PAYAKUMBUH,SUMATERA BARAT
LAPAS KELAS II B PIRU,MALUKU
LAPAS KELAS II B POLEWALI,SULAWESI BARAT
LAPAS KELAS II B PROBOLINGGO,JAWA TIMUR
LAPAS KELAS II B PURWAKARTA,JAWA BARAT
LAPAS KELAS II B SAMPIT,KALIMANTAN TENGAH
LAPAS KELAS II B SANANA,MALUKU UTARA
LAPAS KELAS II B SAROLANGUN,JAMBI
LAPAS KELAS II B SEKAYU,SUMATERA SELATAN
LAPAS KELAS II B SELAT PANJANG,RIAU
LAPAS KELAS II B SELONG,NUSA TENGGARA BARAT
LAPAS KELAS II B SERUI,PAPUA
LAPAS KELAS II B SIBORONG-BORONG,SUMATERA UTARA
LAPAS KELAS II B SINGARAJA,BALI
LAPAS KELAS II B SINGKAWANG,KALIMANTAN BARAT
LAPAS KELAS II B SINTANG,KALIMANTAN BARAT
