"Nama","Alamat","Telepon","Kategori_ID","Kategori_EN","Nomor_Keputusan","Tanggal_Keputusan","Nama_Produk","Tempat_Perizinan","Tanggal_Operasional","Keterangan_ID","Keterangan_EN","Lampiran","Status","Tipe","Barcode","Email","Website"
"PT Apikko","Ruko PDD No. 34,             Jl. Sutorejo Prima Utara, Surabaya","","Penyedia Jasa Pembayaran - Kategori Izin 3","Payment Service Provider - License Category 3","14/94/Sb/2","01/18/2012","","KPwBI Provinsi Jawa Timur","","Layanan Remitansi","Remittance Services","","Berizin (Telah Operasional)","ptd","0018.001/0001","",""
"PT Sinar Rezekindo","Komplek Sakura Anpan Blok F No. 9 Nagoya, Batam Kel. Lubuk Baja Kota Kec. Lubuk Baja Kota Batam","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","14/2/KEP.GBI/Btm/2012","01/16/2012","","KPwBI Provinsi Kepulauan Riau","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","0727.001/0101","",""
"PT Indra Putra Kencana","Batam BCS Mall Lantai dasar Blok C2 No. 1 Kel. Batu Selicin Kec. Lubuk Baja Kota Batam","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","14/1/KEP.GBI/Btm/2012","01/12/2012","","KPwBI Provinsi Kepulauan Riau","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Izin Dicabut","pva","0726.001/0100","",""
"PT Gandiana Gemilang","Jl. By Pass Ngurah Rai (Matahari DS Mall Bali Galeria Lt.II), Badung, Bali","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","14/7/DPM/P3PVA/Dpr","01/11/2012","","KPwBI Provinsi Bali","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","0010.004/0001","",""
"PT Risansa","Jl. D.I. Panjaitan No.43, Yogyakarta","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","14/2/KEP.GBI/YK/2012","01/05/2012","","KPwBI Provinsi DI Yogyakarta","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","0725.001/0012","",""
"PT Gayatri Valasindo","Ruko Mutiara Faza RE 4 Jl. Condet Raya Rt. 007/001, Gedong Pasar Rebo, Jakarta Timur 13760","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/19/KEP.GBI/DPM/2011","12/29/2011","","KPwBI Provinsi DKI Jakarta","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","0708.001/0260","",""
"PT DINARA JAYA","Jl. Veteran Blok A No.1 Kel.Sidomoro Kec.Kebomas","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/30/DPM/P3PVA/Sb","12/29/2011","","KPwBI Provinsi Jawa Timur","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","0618.002/0029","",""
"PT Sugi Internasional Valas","Jl. Kartini Bandar Lampung","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/28/DPM/PVAd/Bdl ","12/28/2011","","KPwBI Provinsi Lampung","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","0592.002/0005","",""
"PT Pos Indonesia","Jl. Banda No. 30, Bandung 40115","","Penyedia Jasa Pembayaran - Kategori Izin 3","Payment Service Provider - License Category 3","13/88/Bd/4","12/28/2011","","KPwBI Provinsi Jawa Barat","","Layanan Remitansi","Remittance Services","","Berizin (Telah Operasional)","ptd","0003.001/0004","",""
"PT Lucas Suka Money Changer","Gedung Terminal Ferry Teluk Senimba Lt. 1 Marina Water Front City Kel. Tanjung Riau Kec. Sekupang Kota Batam","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/6/KEP.GBI/Btm/2011","12/27/2011","","KPwBI Provinsi Kepulauan Riau","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Izin Dicabut","pva","0724.001/0099","",""
"PT Central Mutiara Artha","Jl. Sunan bonang no.12a Rangkas Bitung - Lebak","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/09/KEP.GBI/Sr/2011","12/27/2011","","KPwBI Provinsi Banten","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","0722.001/0036","",""
"PT Karya Oetama Sejahtera Valutama","WTC Matahari Serpong blok G no.137 kel.Pondok Jagung kec.Serpong Utara, Tangerang Selatan","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/10/KEP.GBI/Sr/2011","12/27/2011","","KPwBI Provinsi Banten","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","0717.001/0034","",""
"PT Arta Gading Valas Mandiri","Jl. Boulevard raya ruko alexandrite blok.ALX-3 no.19 Gading Serpong, Tangerang","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/11/KRP.GBI/Sr/2011","12/27/2011","","KPwBI Provinsi Banten","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Izin Dicabut","pva","0721.001/0035","",""
"PT Putra Abadi Sejahtera Valas","Jl. Surabaya No. 79 Lt. 2, Medan ","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/13/KEP.GBI/MDN/2011","12/23/2011","","KPwBI Provinsi Sumatera Utara","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Izin Dicabut","pva","0720.001/0040","",""
"PT Pradnyana Artha Mandiri","Jl. Poppies II Kuta Satria Cotteges, Badung, Bali","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/260/DPM/P3PVA/Dpr","12/22/2011","","KPwBI Provinsi Bali","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Izin Dicabut","pva","0099.007/0011","",""
"PT Alberta Suci Hati","Jl. RS. Fatmawati No. 3 Rt. 005, Rw. 008, Kel. Cilandak Barat, Kec. Cilandak, Jakarta Selatan","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/18/KEP.GBI/DPM/2011","12/21/2011","","KPwBI Provinsi DKI Jakarta","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","0700.001/0259","",""
"PT Crewmen Services Indonesia","Bintaro Trade Center Blok C2 No.12 Sektor 7 Bintaro Jaya Tangerang Selatan 15224","","Penyedia Jasa Pembayaran - Kategori Izin 3","Payment Service Provider - License Category 3","13/91/DASP/37","12/19/2011","","KPwBI Provinsi DKI Jakarta","","Layanan Remitansi","Remittance Services","","Izin Dicabut","ptd","","",""
"PT Tranglo Indonesia","Menara BCA – Regus Lt. 50 unit 5042, Jl. MH. Thamrin No. 1, Kelurahan Menteng, Kecamatan Menteng, Jakarta Pusat","","Penyedia Jasa Pembayaran - Kategori Izin 3","Payment Service Provider - License Category 3","13/93/DASP/39","12/19/2011","","KPwBI Provinsi DKI Jakarta","","Layanan Remitansi","Remittance Services","","Berizin (Telah Operasional)","ptd","0001.001/0031","",""
"PT Venus Victoria Valasindo","Jalan Pasar Baru No. 46   Kota Tanjungpinang","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/5/KEP.GBI/Btm/2011","12/12/2011","","KPwBI Provinsi Kepulauan Riau","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","0718.001/0098","",""
"PT Indo Multi Valasindo","Jl. KS. Tubun No. 15-17, Petamburan, Jakarta Barat 10260","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/17/KEP.GBI/DPM/2011","12/12/2011","","KPwBI Provinsi DKI Jakarta","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","0699.001/0258","",""
"PT Karomah Abadi","Ruko sentra menteng blok MN no.8 Bintaro Jaya Sektor VII Tangerang Selatan","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/8/KEP.GBI/Sr/2011","12/07/2011","","KPwBI Provinsi Banten","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Izin Dicabut","pva","0189.001/0004","",""
"PT Mobile Coin Asia","Jl. Ophir 1 No. 2, Kel. Gunung, Kec. Kebayoran Baru","","Penyedia Jasa Pembayaran - Kategori Izin 3","Payment Service Provider - License Category 3","13/92/DASP/38","12/07/2011","","KPwBI Provinsi DKI Jakarta","","Layanan Remitansi","Remittance Services","","Berizin (Telah Operasional)","ptd","0001.001/0030","",""
"PT Senopati Artha Utama","Jl. RS. Fatmawati No. 201 A, Cilandak, Jakarta Selatan","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/241/DPM/P3PVA","11/24/2011","","KPwBI Provinsi DKI Jakarta","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","0069.003/0018","",""
"PT Nirwana Berkat Valasindo","Komplek pertokoan Pamulang Permai I blok SH 9 no.13, Pamulang, Tangerang Selatan","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/7/KEP.GBI/Sr/2011","11/21/2011","","KPwBI Provinsi Banten","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","0738.001/0039","",""
"PT Padma Warna Artha Prima","Ruko Panorama Cibodas Blok A1 No.8 Rt 01/15, Kel.Sangiang Jaya Kec.Priuk, Tangerang","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","12/4/KEP.GBI/Sr/2010","11/21/2011","","KPwBI Provinsi Banten","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Izin Dicabut","pva","0716.001/0033","",""
"PT Mulya Raya","Ruko Kalimas Blok C No. 15 Jl. Chairil Anwar RT 003 RW 012, Kelurahan Margahayu, Bekasi Timur","","Penyedia Jasa Pembayaran - Kategori Izin 3","Payment Service Provider - License Category 3","13/90/DASP/36","11/18/2011","","KPwBI Provinsi DKI Jakarta","","Layanan Remitansi","Remittance Services","","Izin Dicabut","ptd","0001.001/0029","",""
"PT Naila Valasindo","Ciputat indah permai jl.ir.H.Juanda no.E18, Ciputat, Tangerang","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/6/KEP.GBI/Sr/2011","11/15/2011","","KPwBI Provinsi Banten","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","0251.001/0007","",""
"PT D 8 Valasindo","Mall Gandaria City Lt. 1 No. 168 B, Jl. KH. Safii Hadzami No. 8, Kebayoran Lama, Jakarta Selatan","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/16/KEP.GBI/DPM/2011","11/08/2011","","KPwBI Provinsi DKI Jakarta","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","0698.001/0257","",""
"PT Dirgahayu Valuta Prima","Jl.Danau Poso No.102, Denpasar, Bali","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/209/DPM/P3PVA/Dpr","11/07/2011","","KPwBI Provinsi Bali","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","0024.011/0004","",""
"PT Central Kuta","Jl. Poppies I, Badung, Bali","","Kegiatan Usaha Penukaran Valuta Asing","Non Bank Money Changer Operators","13/212/DPM/P3PVA/Dpr","11/07/2011","","KPwBI Provinsi Bali","","Penyelenggara KUPVA","Non Bank Money Changer Operators","","Berizin (Telah Operasional)","pva","0327.028/0062","",""
