name,description.__cdata,Point.coordinates
shelter Sendangrejo,Sendangrejo <br>Setiawan (Jogoboyo)<br>089 851 789 68<br>Kosong (Kapasitas 3 Kamar),"110.2664615,-7.7255603,0"
Shelter Sendangarum,Sendangarum <br>Hari Mulyanto (Jogoboyo)<br>082 328 344 829<br>Kosong (Kapasitas 2 Kamar),"110.2551426,-7.7436477,0"
Shelter Margomulyo,Margomulyo <br>Yanto (Jogoboyo) <br>085 600 068 191<br>Kapasitas 3 Kamar ,"110.3087326,-7.7198968,0"
Shelter Margokaton,Margokaton <br>Irdhon Hidyah <br>085 729 811 338<br>Kapasitas 3 Kamar ,"110.2897279,-7.7154305,0"
Shelter Margoagung,Margoagung <br>Priyo Sujono<br>0851 0089 0516<br>Kapasitas 4 orang,"110.3078954,-7.7083393,0"
Shelter Margodadi,Margodadi <br>Agus Sulistyanto <br>081 380 219 866<br>Kapasitas 3 Kamar ,"110.2991161,-7.7379069,0"
Shelter Margoluwih,Margoluwih <br>Avi Arvita Dewi (Carik) <br>089 671 660 515<br>Kapasitas 3 Kamar ,"110.2944323,-7.7581348,0"
Shelter Sendangtirto,Sendangtirto <br>Awan Jogoboyo<br>085 292 522 123<br>Kosong (Kapasitas 3 Kamar ),"110.4305609,-7.8206324,0"
Shelter Tegaltirto,Tegaltirto <br>Surowidiyono<br>082 324 125 111<br>Kapasitas 4 Kamar ,"110.4430297,-7.8081872,0"
Shelter Kalitirto,Kalitirto <br>Isna <br>081 328 771 676<br>Kapasitas 10 Kamar ,"110.458448,-7.792103,0"
Shelter Jogotirto,Jogotirto <br>Erwin Dwi Hastomo<br>0858 7878 1993<br>Kapasitas 3 Kamar ,"110.4687081,-7.8143912,0"
Shelter Sumberharjo,Sumberharjo <br>Sugeng Triyono <br>085 579 687 763<br>Kosong (Kapasitas 3 Kamar),"110.484906,-7.8106638,0"
Shelter Wukirharjo,Wukirharjo <br>Giyanto<br>0815 7560 5325<br>2 kamar 4 bed,"110.5223159,-7.8207402,0"
Shelter Gayamharjo,Gayamharjo <br>Gimo Wiyanto<br>0812 2977 8991<br>6 kamar,"110.5313696,-7.7990762,0"
Shelter Sambirejo,sambirejo<br>Supandi (kamitua)<br>0813 4734 620<br>3 kamar,"110.4934477,-7.7834099,0"
Shelter Madurejo,Madurejo <br>Syaifudin <br>081 328 799 293<br>kosong (Kapasitas 6 Kamar),"110.4831364,-7.7989723,0"
Shelter Bokoharjo,Bokoharjo <br>Panji<br>0812 1578 8210<br>Kapasitas 6 Kamar ,"110.4884103,-7.7656443,0"
Shelter Purwomartani,Purwomartani <br>Dwi Antono <br>081 579 737 03<br>Kapasitas 14 Kamar ,"110.4486452,-7.7588252,0"
Shelter Tirtomartani,Tirtomartani <br>Bekti Susanto<br>0815 7952 351<br>Kapasitas 6 Kamar ,"110.4707298,-7.7559987,0"
Shelter Tamanmartani,Tamanmartani <br>Hendri Tri Wibowo <br>087 839 883 382<br>Kapasitas 21 Kamar ,"110.484026,-7.735898,0"
Shelter Selomartani,Selomartani <br>Carik<br>0858 7884 5959<br>Balai Desa,"110.4606163,-7.7322437,0"
Shelter Sindumartani,Sindumartani <br>Murni Carik<br>0857 9930 0124<br>Barak 43 Kamar (barak),"110.476145,-7.691533,0"
