providerName,siteURL,imageURL,domain,estFoundingYear
Dattabot,http://prakerja.dattabot.io/,https://public-prakerja.oss-ap-southeast-5.aliyuncs.com/companies-logo/wlwAD2wdattabot.png?v=3,prakerja.dattabot.io,
Daya Dimensi Indonesia,https://www.dayadimensi.co.id/,https://static-asset-cdn.prakerja.go.id/companies-logo/Daya_Dimensi_Indonesia.png?v=3,dayadimensi.co.id,
Devicourse.com,https://devicourse.com/,https://static-asset-cdn.prakerja.go.id/companies-logo/Devicourse.png?v=3,devicourse.com,2020-11-17
Dicoding,https://www.dicoding.com/kartuprakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/Dicoding.png?v=3,dicoding.com,2014-08-25
Digital Marketist Indonesia,https://marketist.thinkific.com/pages/prakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/Digital_Marketist_Indonesia.png?v=3,marketist.thinkific.com,
DQLab,https://www.dqlab.id/prakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/DQLab.png?v=3,dqlab.id,
DynEd,http://dyned.co.id/courses/program-prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/DynEd.png?v=3,dyned.co.id,
E-learning Pakar Otomotif,https://pakarotomotif.co.id,https://public-prakerja.oss-ap-southeast-5.aliyuncs.com/companies-logo/bB5AdjQLogo Edukasi Pakar Otomotif 10 KB.png?v=3,pakarotomotif.co.id,
English First,https://www.ef.co.id/englishfirst/adults/prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/English_First.png?v=3,ef.co.id,
English for Business (E4B),https://www.e4b.asia/about-prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/English_for_Business-(E4B).png?v=3,e4b.asia,2018-04-27
English Today,https://english-today-jakarta.com/id/kartu-prakerja-information/,https://static-asset-cdn.prakerja.go.id/companies-logo/English_Today.png?v=3,english-today-jakarta.com,2009-09-08
Equalita Learning Centre,https://equalitatrainingcentre.id/article/item/4,https://static-asset-cdn.prakerja.go.id/companies-logo/Equalita_Learning_Centre.png?v=3,equalitatrainingcentre.id,
Excellence.asia/EXCELLOKA,https://blog.excellence.asia/prakerja/,https://public-prakerja.oss-ap-southeast-5.aliyuncs.com/companies-logo/e2ol-48excellence-asia.png?v=3,blog.excellence.asia,
Finata,https://finata.id/prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/finata.png?v=3,finata.id,
G-Trust Learning,https://gtrust.id/vokasi/,https://static-asset-cdn.prakerja.go.id/companies-logo/Gtrust.png?v=3,gtrust.id,
G2 Academy,https://www.g2academy.co/prakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/G2_Academy.png?v=3,g2academy.co,2018-11-23
GameLab by Educa,https://www.gamelab.id/prakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/GameLab_by_Educa.png?v=3,gamelab.id,
Global Edukasi Talenta Inkubator (GETI),https://geti.id/prakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/Global_Edukasi_Talenta_Inkubator_(GETI).png?v=3,geti.id,
Graha Wisata Hotel School,https://grawis-smg.com/prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/GrahaWisataHotelSchool.png?v=3,grawis-smg.com,2019-09-26
Gramedia Academy,https://gramediaacademy.com/prakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/Gramedia_academy.png?v=3,gramediaacademy.com,2015-07-02
GreatEdu,https://greatedu.co.id/prakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/GreatEdu.png?v=3,greatedu.co.id,
