providerName,siteURL,imageURL,domain,estFoundingYear
Skilvul,https://skilvul.com/bundles/prakerja-batch-3-belajar-coding-kilat-menggunakan-html-dan-css,https://static-asset-cdn.prakerja.go.id/companies-logo/Skilvul.png?v=3,skilvul.com,2019-06-04
Skydu Academy,https://skydu.academy/,https://static-asset-cdn.prakerja.go.id/companies-logo/SkyduAcademy.png?v=3,skydu.academy,2020-04-30
Solusi Academy,https://instagram.com/solusiacademy?igshid=18f5x36hemjgj,https://static-asset-cdn.prakerja.go.id/companies-logo/Solusi_Academy.png?v=3,instagram.com,2004-06-04
Soulfy,https://www.soulfy.com/prakerja.php,https://static-asset-cdn.prakerja.go.id/companies-logo/Soulfy.png?v=3,soulfy.com,2013-01-22
Speak Project,https://speakproject.id/prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/Speak_Project.png?v=3,speakproject.id,
Speaklah,https://karyakarsa.com/speaklah,https://static-asset-cdn.prakerja.go.id/companies-logo/Speaklah.png?v=3,karyakarsa.com,2019-04-09
Step Ahead Batam,https://stepaheadbatam.com/,https://static-asset-cdn.prakerja.go.id/companies-logo/StepAheadBatam.png?v=3,stepaheadbatam.com,2020-04-09
Studilmu,https://pelatihanprakerja.studilmu.com,https://static-asset-cdn.prakerja.go.id/companies-logo/Studilmu.png?v=3,pelatihanprakerja.studilmu.com,
Tech In Asia Edu,https://prakerja.techinasia.com,https://static-asset-cdn.prakerja.go.id/companies-logo/Tech_In_Asia_Edu.png?v=3,prakerja.techinasia.com,
TechforID,https://kampus.techfor.id/info-prakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/TechforID.png?v=3,kampus.techfor.id,
TECHNO FLASH,https://lpktechnoflash.com/artikel-kartu-prakerja/,https://public-prakerja.oss-ap-southeast-5.aliyuncs.com/companies-logo/Zqy1zGEtechno-flash.png?v=3,lpktechnoflash.com,
Tempo Institute,https://tempoinstitute.com/kartuprakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/Tempo_Institute.png?v=3,tempoinstitute.com,2020-06-24
The Bencoolen Coffee,https://prakerja.bencoolencoffee.com/kartu-prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/The_Bencoolen_Coffee.png?v=3,prakerja.bencoolencoffee.com,
The Global Institute,https://pelatihanbahasa.theglobalinstitute.co.id/,https://public-prakerja.oss-ap-southeast-5.aliyuncs.com/companies-logo/W8JDjZ0globalinstitute.png?v=3,pelatihanbahasa.theglobalinstitute.co.id,
Think Web,https://think.web.id/,https://static-asset-cdn.prakerja.go.id/companies-logo/Think_Web.png?v=3,think.web.id,
Toffee Dev,https://toffeeinstitute.com/prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/Toffee_Dev.png?v=3,toffeeinstitute.com,2016-03-11
Total Quality Indonesia,http://www.totalquality.co.id/,https://static-asset-cdn.prakerja.go.id/companies-logo/Total_Quality_Indonesia.png?v=3,totalquality.co.id,
Vanaya,https://vanaya.co.id/prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/Vanaya.png?v=3,vanaya.co.id,
Vision College (VICO),https://www.visioncollege.id/,https://public-prakerja.oss-ap-southeast-5.aliyuncs.com/companies-logo/DONzQ1ovision-collage.png?v=3,visioncollege.id,
Vokraf,https://vokraf.com/prakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/Vokraf.png?v=3,vokraf.com,2019-08-28
Vosfoyer,https://vosfoyer.com/content-creator-kelas-prakerja-2021/,https://static-asset-cdn.prakerja.go.id/companies-logo/Vosfoyer.png?v=3,vosfoyer.com,2016-02-01
Widya Eduskill Indonesia,https://www.widyaeduskill.com/,https://static-asset-cdn.prakerja.go.id/companies-logo/WidyaEduskillIndonesia.png?v=3,widyaeduskill.com,2020-04-29
Wiratama Institute,https://training.wiratamainstitute.id/kartu-prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/Wiratama_Institute.png?v=3,training.wiratamainstitute.id,
Xpertrainer,https://xpertrainer.com/prakerja/,https://static-asset-cdn.prakerja.go.id/companies-logo/Xpertrainer.png?v=3,xpertrainer.com,2018-12-26
Yayasan Pendidikan Permata,https://permata-school.com,https://public-prakerja.oss-ap-southeast-5.aliyuncs.com/companies-logo/J9ZdrN4YP Permata Logo-min.png?v=3,permata-school.com,2020-04-26
YP Fitri Al Baasitu,https://fitrialbaasitu.id/kelas_prakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/YP_Fitri_Al_Baasitu.png?v=3,fitrialbaasitu.id,
Zenius Education,https://zenpro.id/prakerja,https://static-asset-cdn.prakerja.go.id/companies-logo/Zenius.png?v=3,zenpro.id,
