Nama Penyelenggara	Alamat	Telepon	Kategori ID	Kategori EN	Nomor Surat	Tanggal Surat	Status	Keterangan ID	Keterangan EN
Imran S; Kristanto, S.H., LL.M			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/337/DPPK/Srt/B	12/23/2019	1	Konsultan Hukum	Law Consultant
Teddy A. Wardhana, S.H., LL.M			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/335/DPPK/Srt/B	12/23/2019	1	Konsultan Hukum	Law Consultant
Firma Firdaus, S.H.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/336/DPPK/Srt/B	12/23/2019	1	Konsultan Hukum	Law Consultant
Ir. Nanette Cahyanie Handari Adi Warsito, S.H.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/326/DPPK/Srt/B	12/12/2019	1	Notaris	Notary Public
Sahat M. Tampubolon			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/328/DPPK/Srt/B	12/03/2019	1	Akuntan Publik	Public Accountant
Septian Ricky Jhonatan			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/327/DPPK/Srt/B	12/03/2019	1	Akuntan Publik	Public Accountant
PT Bank DKI	Jakarta		Penerbit Sertifikat Deposito yang Ditransaksikan di Pasar Uang	Issuers of Deposit Certificates Transacted in the Money Market	21/12/KEP.KADEP.DPPK/2019	11/19/2019	1		
PT Bank CIMB Niaga, Tbk	Jakarta		Lembaga Pendukung Penatausahaan dan Penyelesaian Transaksi Sertifikat Deposito Syariah	Supporting Institutions for Administration and Settlement of Sharia Deposit Certificates Transacted in the Money Market	21/4/DEKS/SRT/B	11/01/2019	1		
Zarya Nugroho			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/277/DPPK/Srt/B	10/31/2019	1	Akuntan Publik	Public Accountant
Pramudya Oktavinanda			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/276/DPPK/Srt/B	10/31/2019	1	Konsultan Hukum	Law Consultant
Ahmad Zakaria			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/279/DPPK/Srt/B	10/31/2019	1	Konsultan Hukum	Law Consultant
Sudiotomo Kartohadiprodjo			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/269/DPPK/Srt/B	10/30/2019	1	Konsultan Hukum	Law Consultant
Maybank Kim Eng Sekuritas	Jakarta		Perantara Transaksi Sertifikat Deposito di Pasar Uang	Intermediary for Deposit Certificate Transactions in the Money Market	21/11/KEP.KADEP.DPPK/2019	10/30/2019	1		
Maybank Kim Eng Sekuritas	Jakarta		Kustodian Transaksi Sertifikat Deposito di Pasar Uang	Custodian for Deposit Certificate Transactions in the Money Market	21/11/KEP.KADEP.DPPK/2019	10/30/2019	1		
Chandra Bima Prakasa			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/263/DPPK/Srt/B	10/28/2019	1	Konsultan Hukum	Law Consultant
Aji Nur Hadian			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/265/DPPK/Srt/B	10/28/2019	1	Konsultan Hukum	Law Consultant
Helen Joni Marsinih, S.H.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/216/DPPK/Srt/B	09/06/2019	1	Konsultan Hukum	Law Consultant
Sri Kusdinarti Martoatmodjo, S.H., M.H., LL.M			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/218/DPPK/Srt/B	09/06/2019	1	Konsultan Hukum	Law Consultant
Vyati Kartika Sari, S.H., M.H.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/220/DPPK/Srt/B	09/06/2019	1	Konsultan Hukum	Law Consultant
Elisabeth Imelda, S.E., M.Ak., CPA			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/205/DPPK/Srt/B	09/03/2019	1	Akuntan Publik	Public Accountant
Ichsan Perwira Kurniagung, S.H., M.H.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/198/DPPK/Srt/B	08/27/2019	1	Konsultan Hukum	Law Consultant
PT  Bank Central Asia Tbk.	Jakarta		Lembaga Pendukung Penatausahaan dan Penyelesaian Transaksi Surat Berharga Komersial	Supporting Institutions for Administration and Settlement of Commercial Securities Transactions	21/192/DPPK/Srt/B	08/23/2019	1		
PT Danareksa Sekuritas	Jakarta		Lembaga Pendukung Penatausahaan dan Penyelesaian Transaksi Surat Berharga Komersial	Supporting Institutions for Administration and Settlement of Commercial Securities Transactions	21/181/DPPK/Srt/B	08/16/2019	1		
PT Binaartha Sekuritas 	Jakarta		Lembaga Pendukung Penatausahaan dan Penyelesaian Transaksi Surat Berharga Komersial	Supporting Institutions for Administration and Settlement of Commercial Securities Transactions	21/184/DPPK/Srt/B	08/16/2019	1		
PT Danareksa Sekuritas	Jakarta		Lembaga Pendukung Transaksi Surat Berharga Komersial	Supporting Institutions for Commercial Securities Transactions	21/180/DPPK/Srt/B	08/16/2019	1		
PT Binaartha Sekuritas 	Jakarta		Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/178/DPPK/Srt/B	08/16/2019	1	Penata Laksana	Arranger
PT Danareksa Sekuritas	Jakarta		Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/179/DPPK/Srt/B	08/16/2019	1	Penata Laksana	Arranger
Slamet Riyanto, SE., AK., CA., CPA., CPI			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/175/DPPK/Srt/B	08/15/2019	1	Akuntan Publik	Public Accountant
Deutsche Bank AG	Jakarta		Penerbit Sertifikat Deposito yang Ditransaksikan di Pasar Uang	Issuers of Deposit Certificates Transacted in the Money Market	21/10/KEP.KADEP.DPPK/2019	08/12/2019	1		
Wayan B. Risma, S.E., M.Ak., CPA			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/154/DPPK/Srt/B	08/05/2019	1	Akuntan Publik	Public Accountant
Ferry Fajarin Rajagukguk, S.H., LL.M			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/149/DPPK/Srt/B	07/22/2019	1	Konsultan Hukum	Law Consultant
Andi Gunawan, S.H., MBA.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/151/DPPK/Srt/B	07/22/2019	1	Konsultan Hukum	Law Consultant
Heliza Ismayati, S.E., Ak., CA., CPA			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/136/DPPK/Srt/B	07/05/2019	1	Akuntan Publik	Public Accountant
PT Bukopin Tbk	Jakarta		Kustodian Transaksi Sertifikat Deposito di Pasar Uang	Custodian for Deposit Certificate Transactions in the Money Market	21/9/KEP.KADEP.DPPK/2019	06/08/2019	1		
Indra Wargadalem			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/113/DPPK/Srt/B	05/22/2019	1	Konsultan Hukum	Law Consultant
Citibank, N.A. Indonesia	Jakarta		Lembaga Pendukung Penatausahaan dan Penyelesaian Transaksi Sertifikat Deposito Syariah	Supporting Institutions for Administration and Settlement of Sharia Deposit Certificates Transacted in the Money Market	21/191/DEKS/SRT/B	05/17/2019	1		
PT Bank Negara Indonesia (Persero) Tbk.	Jakarta		Penerbit Sertifikat Deposito yang Ditransaksikan di Pasar Uang	Issuers of Deposit Certificates Transacted in the Money Market	21/7/KEP.KADEP.DPPK/2019	04/09/2019	1		
H.M.U Fachri Asaari			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/99/DPPK/Srt/B	04/08/2019	1	Konsultan Hukum	Law Consultant
PT Bank DBS	Jakarta		Lembaga Pendukung Penatausahaan dan Penyelesaian Transaksi Surat Berharga Komersial	Supporting Institutions for Administration and Settlement of Commercial Securities Transactions	21/77/DPPK/Srt/B	03/29/2019	1		
PT Bank DBS	Jakarta		Kustodian Transaksi Sertifikat Deposito di Pasar Uang	Custodian for Deposit Certificate Transactions in the Money Market	21/6/KEP.KADEP.DPPK/2019	03/21/2019	1		
Standard Chartered Bank	Jakarta		Lembaga Pendukung Penatausahaan dan Penyelesaian Transaksi Sertifikat Deposito Syariah	Supporting Institutions for Administration and Settlement of Sharia Deposit Certificates Transacted in the Money Market	21/55/DEKS/SRT/B	02/28/2019	1		
PT Fitch Ratings Indonesia	Jakarta		Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/93/DPPK/Srt/B	02/27/2019	1	Lembaga Pemeringkat	Rating Agency
Safrin Maruli Tua, Ak., MBA., CPA., CA.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/53/DPPK/Srt/B	02/22/2019	1	Akuntan Publik	Public Accountant
PT Bank DBS Indonesia	Jakarta		Lembaga Pendukung Penatausahaan dan Penyelesaian Transaksi Sertifikat Deposito Syariah	Supporting Institutions for Administration and Settlement of Sharia Deposit Certificates Transacted in the Money Market	21/77/DEKS/SRT/B	02/04/2019	1		
Atok Komarianto, SE., Ak., CPSAK., CA., CPA., CACP., CLI., ACPA.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/36/DPPK/Srt/B	01/25/2019	1	Akuntan Publik	Public Accountant
PT Bank Tabungan Pensiun Nasional Tbk	Jakarta		Penerbit Sertifikat Deposito yang Ditransaksikan di Pasar Uang	Issuers of Deposit Certificates Transacted in the Money Market	21/3/KEP.KADEP.DPPK/2019	01/14/2019	1		
PT Bank Victoria International Tbk	Jakarta		Penerbit Sertifikat Deposito yang Ditransaksikan di Pasar Uang	Issuers of Deposit Certificates Transacted in the Money Market	21/2/KEP.KADEP.DPPK/2019	01/11/2019	1		
Hendang Tanusdjaja			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/11/DPPK/Srt/B	01/07/2019	1	Akuntan Publik	Public Accountant
Drs. Eddy Kaslim			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/13/DPPK/Srt/B	01/07/2019	1	Akuntan Publik	Public Accountant
Erik Ennedy, SE., Ak.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/15/DPPK/Srt/B	01/07/2019	1	Akuntan Publik	Public Accountant
Suwardji Achmad, SE., M.SAK., CPA.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	21/17/DPPK/Srt/B	01/07/2019	1	Akuntan Publik	Public Accountant
PT Bank Negara Indonesia (Persero) Tbk.	Jakarta		Kustodian Transaksi Sertifikat Deposito di Pasar Uang	Custodian for Deposit Certificate Transactions in the Money Market	21/1/KEP.KADEP.DPPK/2019	01/04/2019	1		
PT Bank HSBC Indonesia 	Jakarta		Lembaga Pendukung Penatausahaan dan Penyelesaian Transaksi Sertifikat Deposito Syariah	Supporting Institutions for Administration and Settlement of Sharia Deposit Certificates Transacted in the Money Market	20/750/DEKS/SRT/B 	12/28/2018	1		
Deutche Bank AG	Jakarta		Lembaga Pendukung Penatausahaan dan Penyelesaian Transaksi Sertifikat Deposito Syariah	Supporting Institutions for Administration and Settlement of Sharia Deposit Certificates Transacted in the Money Market	20/751/DEKS/SRT/B	12/28/2018	1		
Doli Diapary Siregar, CPA			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/473/DPPK/Srt/B	10/23/2018	1	Akuntan Publik	Public Accountant
Drs. Ali Djamhuri, M.Com., CPA.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/474/DPPK/Srt/B	10/23/2018	1	Akuntan Publik	Public Accountant
Dr. Bambang Hariadi, CPA.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/475/DPPK/Srt/B	10/23/2018	1	Akuntan Publik	Public Accountant
Drs. Bambang Sulistiyanto Ak, MBA., CPA			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/476/DPPK/Srt/B	10/23/2018	1	Akuntan Publik	Public Accountant
Dadang Mulyana, CA., CPA.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/477/DPPK/Srt/B	10/23/2018	1	Akuntan Publik	Public Accountant
Drs. Didied P. Affandy, MBA., CPA.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/478/DPPK/Srt/B	10/23/2018	1	Akuntan Publik	Public Accountant
Drs. Rudy Soegiharto, Ak., CPA.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/479/DPPK/Srt/B	10/23/2018	1	Akuntan Publik	Public Accountant
Rupmatuk Sibarani			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/480/DPPK/Srt/B	10/23/2018	1	Akuntan Publik	Public Accountant
Sudirman Simangunsong, M.Si., CPA.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/481/DPPK/Srt/B	10/23/2018	1	Akuntan Publik	Public Accountant
Talupan Lumban Gaol			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/482/DPPK/Srt/B	10/23/2018	1	Akuntan Publik	Public Accountant
Triyanto, SE., Ak., M.Si., CPA.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/483/DPPK/Srt/B	10/23/2018	1	Akuntan Publik	Public Accountant
Andry Danil Atmadja			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/458/DPPK/Srt/B	10/17/2018	1	Akuntan Publik	Public Accountant
Ruli Fajar Hidayat W., S.H.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/462/DPPK/Srt/B	10/17/2018	1	Konsultan Hukum	Law Consultant
Gede Bagus Wulansari, S.H., M.H.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/464/DPPK/Srt/B	10/17/2018	1	Konsultan Hukum	Law Consultant
PT Victoria Sekuritas Indonesia	Jakarta		Kustodian Transaksi Sertifikat Deposito di Pasar Uang	Custodian for Deposit Certificate Transactions in the Money Market	20/14/KEP.KADEP.DPPK/2018	10/17/2018	1		
PT. Bank Bukopin Tbk.	Jakarta		Lembaga Pendukung Penatausahaan dan Penyelesaian Transaksi Surat Berharga Komersial	Supporting Institutions for Administration and Settlement of Commercial Securities Transactions	20/460/DPPK/Srt/B	10/17/2018	1		
PT Victoria Sekuritas Indonesia	Jakarta		Perantara Transaksi Sertifikat Deposito di Pasar Uang	Intermediary for Deposit Certificate Transactions in the Money Market	20/14/KEP.KADEP.DPPK/2018	10/17/2018	1		
PT. BPD Jawa Tengah	Semarang		Penerbit Sertifikat Deposito yang Ditransaksikan di Pasar Uang	Issuers of Deposit Certificates Transacted in the Money Market	20/13/KEP.KADEP.DPPK/2018	10/05/2018	1		
Dewi Lestari, S.H., M.H.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/446/DPPK/Srt/B	09/25/2018	1	Konsultan Hukum	Law Consultant
Brigitta I. Rahayoe, S.H.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/429/DPPK/Srt/B	09/12/2018	1	Konsultan Hukum	Law Consultant
PT. Bank Mandiri (Persero) Tbk	Jakarta		Lembaga Pendukung Penatausahaan dan Penyelesaian Transaksi Surat Berharga Komersial	Supporting Institutions for Administration and Settlement of Commercial Securities Transactions	20/431/DPPK/Srt/B	09/12/2018	1		
PT. BCA Sekuritas	Jakarta		Lembaga Pendukung Penatausahaan dan Penyelesaian Transaksi Surat Berharga Komersial	Supporting Institutions for Administration and Settlement of Commercial Securities Transactions	20/411/DPPK/Srt/B	08/27/2018	1		
Deutsche Bank AG., Jakarta	Jakarta		Lembaga Pendukung Penatausahaan dan Penyelesaian Transaksi Surat Berharga Komersial	Supporting Institutions for Administration and Settlement of Commercial Securities Transactions	20/415/DPPK/Srt/B	08/27/2018	1		
PT BCA Sekuritas	Jakarta		Lembaga Pendukung Transaksi Surat Berharga Komersial	Supporting Institutions for Commercial Securities Transactions	20/413/DPPK/Srt/B	08/27/2018	1		
Dr. Kumalahadi, M.Si., Ak, CA, CPA			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/401/DPPK/Srt/B	08/23/2018	1	Akuntan Publik	Public Accountant
M. Kuncara Budi Santosa, SE, Ak, MM, CA, CPA, BKP			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/403/DPPK/Srt/B	08/23/2018	1	Akuntan Publik	Public Accountant
Tjoepit Samiadji, SE, Ak, CA, CPA			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/405/DPPK/Srt/B	08/23/2018	1	Akuntan Publik	Public Accountant
Irhoan Tanudiredja			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/371/DPPK/Srt/B	08/08/2018	1	Akuntan Publik	Public Accountant
M. Jusuf Wibisana			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/372/DPPK/Srt/B	08/08/2018	1	Akuntan Publik	Public Accountant
Eddy Rintis			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/373/DPPK/Srt/B	08/08/2018	1	Akuntan Publik	Public Accountant
Lucy Luciana Suhenda			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/374/DPPK/Srt/B	08/08/2018	1	Akuntan Publik	Public Accountant
Nita Skolastika Ruslim			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/375/DPPK/Srt/B	08/08/2018	1	Akuntan Publik	Public Accountant
Ade Setiawan Elimin			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/376/DPPK/Srt/B	08/08/2018	1	Akuntan Publik	Public Accountant
Jumadi			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/377/DPPK/Srt/B	08/08/2018	1	Akuntan Publik	Public Accountant
Chrisna A. Wardhana			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/378/DPPK/Srt/B	08/08/2018	1	Akuntan Publik	Public Accountant
Yusron			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/379/DPPK/Srt/B	08/08/2018	1	Akuntan Publik	Public Accountant
Buntoro Rianto			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/380/DPPK/Srt/B	08/08/2018	1	Akuntan Publik	Public Accountant
Lok Budianto			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/381/DPPK/Srt/B	08/08/2018	1	Akuntan Publik	Public Accountant
Yanto			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/382/DPPK/Srt/B	08/08/2018	1	Akuntan Publik	Public Accountant
Djohan Pinnarwan Jusuf			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/383/DPPK/Srt/B	08/08/2018	1	Akuntan Publik	Public Accountant
Angelique Dewi Daryanto			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/384/DPPK/Srt/B	08/08/2018	1	Akuntan Publik	Public Accountant
Subianto			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/385/DPPK/Srt/B	08/08/2018	1	Akuntan Publik	Public Accountant
Daniel Kohar			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/386/DPPK/Srt/B	08/08/2018	1	Akuntan Publik	Public Accountant
Yuliana Sudjonno			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/387/DPPK/Srt/B	08/08/2018	1	Akuntan Publik	Public Accountant
PT BCA Sekuritas	Jakarta		Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/363/DPPK/Srt/B	07/30/2018	1	Penata Laksana	Arranger
Saptoto Agustomo			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/344/DPPK/Srt/B	07/19/2018	1	Akuntan Publik	Public Accountant
Benny Andria			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/345/DPPK/Srt/B	07/19/2018	1	Akuntan Publik	Public Accountant
Rudi Hartono Purba			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/346/DPPK/Srt/B	07/19/2018	1	Akuntan Publik	Public Accountant
Didik Wahyudiyanto			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/347/DPPK/Srt/B	07/19/2018	1	Akuntan Publik	Public Accountant
Rusli			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/348/DPPK/Srt/B	07/19/2018	1	Akuntan Publik	Public Accountant
Dedy Sukrisnadi			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/349/DPPK/Srt/B	07/19/2018	1	Akuntan Publik	Public Accountant
Riki Afrianof, S.E., CPA			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/350/DPPK/Srt/B	07/19/2018	1	Akuntan Publik	Public Accountant
Tjun Tjun, S.E., CPA			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/351/DPPK/Srt/B	07/19/2018	1	Akuntan Publik	Public Accountant
Galuh Worohapsari Anggonoraras Mustikaningjati, S.E., Ak., CPA			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/352/DPPK/Srt/B	07/19/2018	1	Akuntan Publik	Public Accountant
Eishennoraz, S.E., M.Si., Ak., CA., CPA			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/353/DPPK/Srt/B	07/19/2018	1	Akuntan Publik	Public Accountant
Dewi Novita Sari, S.E., CPA			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/354/DPPK/Srt/B	07/19/2018	1	Akuntan Publik	Public Accountant
Jul Edy Siahaan, S.E., CPA			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/355/DPPK/Srt/B	07/19/2018	1	Akuntan Publik	Public Accountant
Endang Pramuwati			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/356/DPPK/Srt/B	07/19/2018	1	Akuntan Publik	Public Accountant
Winny Evalestine Patriarini, S.E., Ak., CPA			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/357/DPPK/Srt/B	07/19/2018	1	Akuntan Publik	Public Accountant
Sari Lukitaningsih, SH., MH.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/341/DPPK/Srt/B	07/09/2018	1	Konsultan Hukum	Law Consultant
Acep Kusmayadi, Ak., CA., CPA			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/328/DPPK/Srt/B	06/22/2018	1	Akuntan Publik	Public Accountant
PT Bank Permata, Tbk.	Jakarta		Lembaga Pendukung Penatausahaan dan Penyelesaian Transaksi Surat Berharga Komersial	Supporting Institutions for Administration and Settlement of Commercial Securities Transactions	20/330/DPPK/Srt/B	06/22/2018	1		
Drs. Raja Sirait, SH., MH., MM., CLA., CRA., CLI.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/312/DPPK/Srt/B	05/28/2018	1	Konsultan Hukum	Law Consultant
Yusuf Wangsaredja, SH., CRA.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/314/DPPK/Srt/B	05/28/2018	1	Konsultan Hukum	Law Consultant
Hendrik Silalahi			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/317/DPPK/Srt/B	05/28/2018	1	Konsultan Hukum	Law Consultant
Drs. Hartono, Ak., CPA.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/300/DPPK/Srt/B	05/28/2018	1	Akuntan Publik	Public Accountant
Drs. Sugiarto, Ak., M. Acc., MBA., CPA			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/302/DPPK/Srt/B	05/28/2018	1	Akuntan Publik	Public Accountant
Abdul Khoir, SE., Ak., MSi., CPA.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/304/DPPK/Srt/B	05/28/2018	1	Akuntan Publik	Public Accountant
Wijadi, Ak., CPA.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/306/DPPK/Srt/B	05/28/2018	1	Akuntan Publik	Public Accountant
Drs. Djarwoto, Ak., CPA.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/308/DPPK/Srt/B	05/28/2018	1	Akuntan Publik	Public Accountant
Drs. Jimmy Jansen, Ak., CPA., CA.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/310/DPPK/Srt/B	05/28/2018	1	Akuntan Publik	Public Accountant
