Nama Penyelenggara	Alamat	Telepon	Kategori ID	Kategori EN	Nomor Surat	Tanggal Surat	Status	Keterangan ID	Keterangan EN
Adrianus Ardianto, S.H.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/21/DPPK/Srt/B	01/18/2018	1	Konsultan Hukum	Law Consultant
PT BPD KALTIM-KALTARA	Samarinda		Penerbit Sertifikat Deposito yang Ditransaksikan di Pasar Uang	Issuers of Deposit Certificates Transacted in the Money Market	21/4/KEP.KADEP.DPPK/2019	01/17/2018	1		
Harry Firdaus Simanjuntak, S.H.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/24/DPPK/Srt/B	01/16/2018	1	Konsultan Hukum	Law Consultant
Agus Soetopo, S.H., M.H.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/12/DPPK/Srt/B	01/16/2018	1	Konsultan Hukum	Law Consultant
PT BNI Sekuritas	Jakarta		Lembaga Pendukung Transaksi Surat Berharga Komersial	Supporting Institutions for Commercial Securities Transactions	20/4/DPPK/Srt/B	01/10/2018	1		
Bank HSBC Indonesia, PT	Jakarta		Lembaga Pendukung Penatausahaan dan Penyelesaian Transaksi Surat Berharga Komersial	Supporting Institutions for Administration and Settlement of Commercial Securities Transactions	19/395/DPPK/Srt/B	12/29/2017	1		
Drs. Tjahjo Nurwantoro, CPA., CA.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	19/397/DPPK/Srt/B	12/29/2017	1	Akuntan Publik	Public Accountant
Lenny Janis Ishak, SH			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	19/390/DPPK/Srt/B	12/27/2017	1	Notaris	Notary Public
Devi Yunanda, SH, MKn			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	19/392/DPPK/Srt/B	12/27/2017	1	Notaris	Notary Public
Citibank N.A. Indonesia	Jakarta		Lembaga Pendukung Penatausahaan dan Penyelesaian Transaksi Surat Berharga Komersial	Supporting Institutions for Administration and Settlement of Commercial Securities Transactions	19/387/DPPK/Srt/B	12/22/2017	1		
PT Bank Mega Tbk.	Jakarta		Kustodian Transaksi Sertifikat Deposito di Pasar Uang	Custodian for Deposit Certificate Transactions in the Money Market	19/43/KEP.KADEP.DPPK/2017	12/22/2017	1		
Kanon Armiyanto, S.H., M.H.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	19/384/DPPK/Srt/B	12/21/2017	1	Konsultan Hukum	Law Consultant
Peringkat Efek Indonesia, PT.	Jakarta		Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	20/175/DPPK/Srt/B	12/05/2017	1	Lembaga Pemeringkat	Rating Agency
PT Bank HSBC Indonesia	Jakarta		Kustodian Transaksi Sertifikat Deposito di Pasar Uang	Custodian for Deposit Certificate Transactions in the Money Market	19/40/KEP.KADEP.DPPK/2017	11/21/2017	1		
PT Mandiri Taspen Pos	Jakarta		Penerbit Sertifikat Deposito yang Ditransaksikan di Pasar Uang	Issuers of Deposit Certificates Transacted in the Money Market	19/41/KEP.KADEP.DPPK/2017	11/11/2017	1		
PT Bank Rabobank Internasional Indonesia	Jakarta		Penerbit Sertifikat Deposito yang Ditransaksikan di Pasar Uang	Issuers of Deposit Certificates Transacted in the Money Market	19/42/KEP.KADEP.DPPK/2017	11/11/2017	1		
PT Bank DBS Indonesia	Jakarta		Penerbit Sertifikat Deposito yang Ditransaksikan di Pasar Uang	Issuers of Deposit Certificates Transacted in the Money Market	19/38/KEP.KADEP.DPPK/2017	10/31/2017	1		
PT Bank Permata Tbk.	Jakarta		Kustodian Transaksi Sertifikat Deposito di Pasar Uang	Custodian for Deposit Certificate Transactions in the Money Market	19/37/KEP.KADEP.DPPK/2017	10/31/2017	1		
PT Mandiri Sekuritas	Jakarta		Kustodian Transaksi Sertifikat Deposito di Pasar Uang	Custodian for Deposit Certificate Transactions in the Money Market	19/39/KEP.KADEP.DPPK/2017	10/31/2017	1		
Abadi Tisnadisastra, S.H., LL.M.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	19/294/DPPK/Srt/B	10/31/2017	1	Konsultan Hukum	Law Consultant
Mohamad Kadri, S.H.			Lembaga Pendukung Penerbitan Surat Berharga Komersial	Supporting Institutions for the Issuance of Commercial Securities	19/296/DPPK/Srt/B	10/31/2017	1	Konsultan Hukum	Law Consultant
PT Mandiri Sekuritas	Jakarta		Perantara Transaksi Sertifikat Deposito di Pasar Uang	Intermediary for Deposit Certificate Transactions in the Money Market	19/36/KEP.KADEP.DPPK/2017	10/23/2017	1		
PT Bank Woori Saudara	Jakarta		Penerbit Sertifikat Deposito yang Ditransaksikan di Pasar Uang	Issuers of Deposit Certificates Transacted in the Money Market	19/35/KEP.KADEP.DPPK/2017	10/23/2017	1		
Standard Chartered Bank Indonesia	Jakarta		Kustodian Transaksi Sertifikat Deposito di Pasar Uang	Custodian for Deposit Certificate Transactions in the Money Market	19/34/KEP.KADEP.DPPK/2017	10/19/2017	1		
