province,city,capital,sni_code
Maluku Utara,Kabupaten Halmahera Timur,Maba,MAB
Maluku Utara,Kabupaten Pulau Morotai,Morotai Selatan,MTS
Maluku Utara,Kota Ternate,Ternate,TTE
Maluku Utara,Kota Tidore Kepulauan,Tidore,TDR
Papua,Kabupaten Merauke,Merauke,MRK
Papua,Kabupaten Jayawijaya,Wamena,WAM
Papua,Kabupaten Jayapura,Jayapura,JAP
Papua,Kabupaten Nabire,Nabire,NAB
Papua,Kabupaten Kepulauan Yapen,Serui,SRU
Papua,Kabupaten Biak Numfor,Biak,BIK
Papua,Kabupaten Puncak Jaya,Mulia,MUL
Papua,Kabupaten Paniai,Enarotali,ERT
Papua,Kabupaten Mimika,Timika,TIM
Papua,Kabupaten Sarmi,Sarmi,SMI
Papua,Kabupaten Keerom,Waris,WRS
Papua,Kabupaten Pegunungan Bintang,Oksibil,OSB
Papua,Kabupaten Yahukimo,Sumohai,SMH
Papua,Kabupaten Tolikara,Karubaga,KBG
Papua,Kabupaten Waropen,Botawa,BTW
Papua,Kabupaten Boven Digoel,Tanah Merah,TMR
Papua,Kabupaten Mappi,Kepi,KEP
Papua,Kabupaten Asmat,Agats,AGT
Papua,Kabupaten Supiori,Sorendiweri,SRW
Papua,Kabupaten Mamberamo Raya,Burmeso,BRM
Papua,Kabupaten Mamberamo Tengah,Kobakma,KBK
Papua,Kabupaten Yalimo,Elelim,ELL
Papua,Kabupaten Lanny Jaya,Tiom,TOM
Papua,Kabupaten Nduga,Kenyam,KYM
Papua,Kabupaten Puncak,Ilaga,ILG
Papua,Kabupaten Dogiyai,Kigamani,KGM
Papua,Kabupaten Intan Jaya,Sugapa,SGP
Papua,Kabupaten Deiyai,Tigi,TIG
Papua,Kota Jayapura,Jayapura,JAP
Papua Barat,Kabupaten Sorong,Aimas,AMS
Papua Barat,Kabupaten Manokwari,Manokwari,MNK
Papua Barat,Kabupaten Fak Fak,Fak Fak,FFK
Papua Barat,Kabupaten Sorong Selatan,Teminabuan,TMB
Papua Barat,Kabupaten Raja Ampat,Waisai,WAS
Papua Barat,Kabupaten Teluk Bintuni,Bintuni,BTI
Papua Barat,Kabupaten Teluk Wondama,Rasiei,RAS
Papua Barat,Kabupaten Kaimana,Kaimana,KMN
Papua Barat,Kabupaten Tambrauw,Fef,FEF
Papua Barat,Kabupaten Maybrat,Aifat,AFT
Papua Barat,Kota Sorong,Sorong,SON
,,,
